TrailingOnes, TotalCoeff, 0_n_2, 2_n_4, 4_n_8, 8_n, n_-1, n_-2
0, 0, 1, 11, 1111, 0000_11, 01, 1
0, 1, 0001_01, 0010_11, 0011_11, 0000_00, 0001_11, 0001_111
1, 1, 01, 10, 1110, 0000_01, 1, 01
0, 2, 0000_0111, 0001_11, 0010_11, 0001_00, 0001_00, 0001_110
1, 2, 0001_00, 0011_1, 0111_1, 0001_01, 0001_10, 0001_101
2, 2, 001, 011, 1101, 0001_10, 001, 001
0, 3, 0000_0011_1, 0000_111, 0010_00, 0010_00, 0000_11, 0000_0011_1
1, 3, 0000_0110, 0010_10, 0110_0, 0010_01, 0000_011, 0001_100
2, 3, 0000_101, 0010_01, 0111_0, 0010_10, 0000_010, 0001_011
3, 3, 0001_1, 0101, 1100, 0010_11, 0001_01, 0000_1
0, 4, 0000_0001_11, 0000_0111, 0001_111, 0011_00, 0000_10, 0000_0011_0
1, 4, 0000_0011_0, 0001_10, 0101_0, 0011_01, 0000_0011, 0000_0010_1
2, 4, 0000_0101, 0001_01, 0101_1, 0011_10, 0000_0010, 0001_010
3, 4, 0000_11, 0100, 1011, 0011_11, 0000_000, 0000_01
0, 5, 0000_0000_111, 0000_0100, 0001_011, 0100_00, -, 0000_0001_11
1, 5, 0000_0001_10, 0000_110, 0100_0, 0100_01, -, 0000_0001_10
2, 5, 0000_0010_1, 0000_101, 0100_1, 0100_10, -, 0000_0010_0
3, 5, 0000_100, 0011_0, 1010, 0100_11, -, 0001_001
0, 6, 0000_0000_0111_1, 0000_0011_1, 0001_001, 0101_00, -, 0000_0000_111
1, 6, 0000_0000_110, 0000_0110, 0011_10, 0101_01, -, 0000_0000_110
2, 6, 0000_0001_01, 0000_0101, 0011_01, 0101_10, -, 0000_0001_01
3, 6, 0000_0100, 0010_00, 1001, 0101_11, -, 0001_000
0, 7, 0000_0000_0101_1, 0000_0001_111, 0001_000, 0110_00, -, 0000_0000_0111
1, 7, 0000_0000_0111_0, 0000_0011_0, 0010_10, 0110_01, -, 0000_0000_0110
2, 7, 0000_0000_101, 0000_0010_1, 0010_01, 0110_10, -, 0000_0000_101
3, 7, 0000_0010_0, 0001_00, 1000, 0110_11, -, 0000_0001_00
0, 8, 0000_0000_0100_0, 0000_0001_011, 0000_1111, 0111_00, -, 0000_0000_0011_1
1, 8, 0000_0000_0101_0, 0000_0001_110, 0001_110, 0111_01, -, 0000_0000_0101
2, 8, 0000_0000_0110_1, 0000_0001_101, 0001_101, 0111_10, -, 0000_0000_0100
3, 8, 0000_0001_00, 0000_100, 0110_1, 0111_11, -, 0000_0000_100
0, 9, 0000_0000_0011_11, 0000_0000_1111, 0000_1011, 1000_00, -, -
1, 9, 0000_0000_0011_10, 0000_0001_010, 0000_1110, 1000_01, -, -
